296,139,307,143,260,185,279,147,281,145,296.2793,179.7749,296.1396,159.3875,304.6865,161.3875,280.9491,182.3875,287.6396,171.9868,285.7818,162.3875,0
275,161,290,165,302,184,268,185,263,173,283.7057,181.4129,279.3529,171.2065,289.7504,173.2065,295.811,182.7065,275.8529,192.8489,270.6464,177.2065,0
278,151,286,156,299,177,265,181,265,156,280.4201,172.7636,279.21,161.8818,286.0707,164.3818,292.6364,174.8818,272.71,186.1914,270.0099,164.3818,0
294,160,316,176,318,185,284,191,276,169,299.1916,177.8297,296.5958,168.9148,310.7029,176.9148,311.713,181.4148,291.5958,194.1209,284.7484,173.4148,0
273,154,294,169,300,179,265,186,262,163,280.6707,177.3131,276.8353,165.6566,290.2377,173.1566,293.268,178.1566,272.8353,191.2174,268.6488,170.1566,0
272,152,294,169,299,178,263,183,259,174,279.9687,175.951,275.9844,163.9755,289.8832,172.4755,292.4084,176.9755,271.4844,188.9216,266.8162,174.9755,0
273,151,294,166,266,183,261,176,263,158,281.3382,174.4376,277.1691,162.7188,290.5748,170.2188,276.4334,178.7188,271.1691,184.4408,269.4744,166.2188,0
306,164,330,180,335,190,294,188,296,176,316.8168,189.1254,311.4084,176.5627,326.6751,184.5627,329.2004,189.5627,305.4084,198.487,303.3746,182.5627,0
299,158,319,169,328,183,285,185,286,172,308.2053,182.9831,303.6027,170.4915,316.7704,175.9915,321.3158,182.9915,296.6027,193.6753,294.161,177.4915,0
299,138,314,141,326,151,269,191,282,149,303.7669,179.2797,301.3835,158.6398,312.0035,160.1398,318.0641,165.1398,286.3835,194.884,289.9836,164.1398,0
302,140,316,143,325,152,275,187,288,147,307.5959,177.1669,304.798,158.5835,314.9474,160.0835,319.4929,164.5835,291.298,191.6668,294.8495,162.0835,0
287,154,308,168,315,181,273,181,273,178,295.8774,178.8476,291.4387,166.4238,304.9886,173.4238,308.524,179.9238,284.4387,189.3935,281.6225,178.4238,0
321,167,299,218,297,211,298,196,301,192,322.4722,209.377,321.7361,188.1885,313.8748,213.6885,312.8647,210.1885,310.2361,213.3563,308.6496,200.6885,1
290,160,294,162,259,214,259,193,288,161,288.1085,208.9885,289.0542,184.4942,293.9942,185.4942,276.3174,211.4942,273.5542,211.5729,285.2022,184.9942,1
290,188,267,231,266,227,265,219,266,215,290.2782,228.9702,290.1391,208.4851,281.4536,229.9851,280.9486,227.9851,277.6391,235.7738,275.3853,221.9851,1
296,179,299,180,287,228,280,204,281,201,300.155,211.6452,298.0775,195.3226,302.6035,195.8226,296.5429,219.8226,290.0775,218.7606,287.7005,206.3226,1
283,200,289,200,290,201,265,231,263,223,288.6378,232.5555,285.8189,216.2777,291.7362,216.2777,292.2413,216.7777,276.8189,243.9766,273.088,227.7777,1
359,183,361,183,363,184,332,221,356,185,360.9818,225.6482,359.9909,204.3241,364.6372,204.3241,365.6473,204.8241,346.4909,235.078,354.9415,205.3241,1
336,169,354,207,310,217,307,199,308,197,333.5904,212.4611,334.7952,190.7305,347.2679,209.7305,325.0457,214.7305,320.2952,216.5585,317.619,204.7305,1
296,182,320,198,328,208,329,211,293,209,312.4959,211.8433,304.2479,196.9217,319.4424,204.9217,323.4828,209.9217,320.7479,222.5491,299.7504,210.4217,1
296,184,300,184,326,235,278,215,280,211,300.7909,224.8407,298.3954,204.4204,303.4297,204.4204,316.5611,229.9204,289.3954,231.4951,287.5202,217.9204,1
284,178,316,190,321,197,325,215,289,215,304.168,206.8426,294.084,192.4213,313.2162,198.4213,315.7414,201.9213,314.584,222.0224,293.6476,210.9213,1
298,166,275,210,274,206,274,204,275,196,296.356,205.9646,297.178,185.9823,288.5636,207.9823,288.0586,205.9823,285.178,215.7708,282.8495,200.9823,1
281,168,285,170,309,222,259,211,259,204,283.1878,213.4285,282.0939,190.7142,286.9636,191.7142,299.0848,217.7142,271.0939,223.3834,268.4099,208.7142,1
297,163,276,218,275,215,274,209,276,186,293.5369,201.5229,295.2684,182.2614,287.6449,209.7614,287.1398,208.2614,283.7684,216.0647,281.9489,193.7614,1
